,State,Year,income,State.MinWage.Adj,Party,pregnancyrate1517,pregnancyrate1819,pregnancyrate2024,pregnancyrate2529,pregnancyrate3034,pregnancyrate3539,pregnancyrate40plus,abortionrate1517,abortionrate1819,abortionrate2024,abortionrate2529,abortionrate3034,abortionrate3539,abortionrate40plus,birthrate1819,birthrate1519,birthrate2024,birthrate2529,birthrate3034,birthrate3539,birthrate40plus,Federal.Minimum.Wage.2020.Dollars,Effective.Minimum.Wage.2020.Dollars,CPI.Average,Department.Of.Labor.Cleaned.Low.Value.2020.Dollars,Department.Of.Labor.Cleaned.High.Value.2020.Dollars
37,NJ,2005,84196,6.82,D,41.3,124.8,174.5,190.6,175.4,89.5,21.6,24.4,62.9,75,55.7,29.8,15.6,5.6,46.4,24.2,76.7,107.8,118.8,60.3,12.9,6.82,6.82,195.3,6.82,6.82
38,NM,2005,51748,6.82,D,56.7,148.6,195.1,170.1,114.6,54.7,14.4,11.7,26.7,34.9,23.9,13.8,7.5,3,99.4,61.2,130.6,119.8,82.8,38.7,9.2,6.82,6.82,195.3,6.82,6.82
39,NV,2005,64055,6.82,R,51.8,166.1,209.3,182.5,136.6,70.4,18.5,16.6,49.5,51.2,34.7,23.2,14.7,5.2,93,51.6,127.5,120.3,92.6,45.2,10.7,6.82,6.82,195.3,6.82,6.82
40,NV,2005,64055,6.82,R,51.8,166.1,209.3,182.5,136.6,70.4,18.5,16.6,49.5,51.2,34.7,23.2,14.7,5.2,93,51.6,127.5,120.3,92.6,45.2,10.7,6.82,6.82,195.3,6.82,6.82
41,NY,2005,62682,7.95,R,46.1,120.2,169.8,174.3,159.8,88.5,23.9,27.4,60.6,71.2,53.5,35,20.1,7.2,44.6,25.7,76.2,96.2,101.1,55.3,13.4,6.82,7.95,195.3,7.95,7.95
42,OH,2005,58732,3.71,R,32.3,107.1,155.3,162.5,125.3,54,11,8.4,22.9,29.5,21.4,12.9,6.8,2.1,68.3,38.3,102.4,115.8,92.6,38.8,7.2,6.82,6.82,195.3,3.71,5.63
43,OH,2005,58732,3.71,R,32.3,107.1,155.3,162.5,125.3,54,11,8.4,22.9,29.5,21.4,12.9,6.8,2.1,68.3,38.3,102.4,115.8,92.6,38.8,7.2,6.82,6.82,195.3,3.71,5.63
44,OK,2005,50018,2.65,D,38.5,126.4,177.6,173.2,105.4,43.9,8.6,5.8,15.6,19.5,15.2,9.4,5.3,1.6,91,52.8,130.1,130.3,79.2,31.7,5.7,6.82,6.82,195.3,2.65,6.82
45,OK,2005,50018,2.65,D,38.5,126.4,177.6,173.2,105.4,43.9,8.6,5.8,15.6,19.5,15.2,9.4,5.3,1.6,91,52.8,130.1,130.3,79.2,31.7,5.7,6.82,6.82,195.3,2.65,6.82
46,OR,2005,58673,9.6,D,29.3,98.7,148.7,161.7,122.6,62.9,14.3,9.6,25.6,31.5,23.3,14.7,9.1,3.6,58.8,32.7,95.1,113.4,88.6,44.1,8.7,6.82,9.6,195.3,9.6,9.6
